Using GPU 3
x: torch.Size([108, 68]), edge_index: torch.Size([2, 125]) edge_attr:  torch.Size([125, 1]) y:  tensor(13.6964)
x: torch.Size([108, 68]), edge_index: torch.Size([2, 114]) edge_attr:  torch.Size([114, 1]) y:  tensor(84.8148)
x: torch.Size([148, 68]), edge_index: torch.Size([2, 120]) edge_attr:  torch.Size([120, 1]) y:  tensor(7.5223)
x: torch.Size([108, 68]), edge_index: torch.Size([2, 102]) edge_attr:  torch.Size([102, 1]) y:  tensor(49058.0273)
x: torch.Size([168, 68]), edge_index: torch.Size([2, 153]) edge_attr:  torch.Size([153, 1]) y:  tensor(3281.4397)
x: torch.Size([148, 68]), edge_index: torch.Size([2, 143]) edge_attr:  torch.Size([143, 1]) y:  tensor(13716.0020)
x: torch.Size([168, 68]), edge_index: torch.Size([2, 118]) edge_attr:  torch.Size([118, 1]) y:  tensor(431.4429)
x: torch.Size([288, 68]), edge_index: torch.Size([2, 119]) edge_attr:  torch.Size([119, 1]) y:  tensor(12653.9307)
x: torch.Size([128, 68]), edge_index: torch.Size([2, 108]) edge_attr:  torch.Size([108, 1]) y:  tensor(75.2173)
x: torch.Size([108, 68]), edge_index: torch.Size([2, 127]) edge_attr:  torch.Size([127, 1]) y:  tensor(49058.0273)
x: torch.Size([108, 68]), edge_index: torch.Size([2, 88]) edge_attr:  torch.Size([88, 1]) y:  tensor(11033.9580)
x: torch.Size([108, 68]), edge_index: torch.Size([2, 150]) edge_attr:  torch.Size([150, 1]) y:  tensor(46.4337)
x: torch.Size([168, 68]), edge_index: torch.Size([2, 119]) edge_attr:  torch.Size([119, 1]) y:  tensor(49058.0273)
x: torch.Size([288, 68]), edge_index: torch.Size([2, 106]) edge_attr:  torch.Size([106, 1]) y:  tensor(49058.0273)
x: torch.Size([108, 68]), edge_index: torch.Size([2, 111]) edge_attr:  torch.Size([111, 1]) y:  tensor(1145.3628)
x: torch.Size([168, 68]), edge_index: torch.Size([2, 121]) edge_attr:  torch.Size([121, 1]) y:  tensor(49058.0273)
x: torch.Size([128, 68]), edge_index: torch.Size([2, 105]) edge_attr:  torch.Size([105, 1]) y:  tensor(209.2582)
x: torch.Size([148, 68]), edge_index: torch.Size([2, 118]) edge_attr:  torch.Size([118, 1]) y:  tensor(10906.7666)
x: torch.Size([288, 68]), edge_index: torch.Size([2, 92]) edge_attr:  torch.Size([92, 1]) y:  tensor(64.0221)
x: torch.Size([148, 68]), edge_index: torch.Size([2, 137]) edge_attr:  torch.Size([137, 1]) y:  tensor(10397.7422)
x: torch.Size([288, 68]), edge_index: torch.Size([2, 103]) edge_attr:  torch.Size([103, 1]) y:  tensor(49058.0273)
x: torch.Size([288, 68]), edge_index: torch.Size([2, 119]) edge_attr:  torch.Size([119, 1]) y:  tensor(49058.0273)
x: torch.Size([288, 68]), edge_index: torch.Size([2, 127]) edge_attr:  torch.Size([127, 1]) y:  tensor(49058.0273)
x: torch.Size([288, 68]), edge_index: torch.Size([2, 98]) edge_attr:  torch.Size([98, 1]) y:  tensor(129.5870)
x: torch.Size([108, 68]), edge_index: torch.Size([2, 131]) edge_attr:  torch.Size([131, 1]) y:  tensor(14265.6455)
x: torch.Size([128, 68]), edge_index: torch.Size([2, 121]) edge_attr:  torch.Size([121, 1]) y:  tensor(49058.0273)
x: torch.Size([108, 68]), edge_index: torch.Size([2, 125]) edge_attr:  torch.Size([125, 1]) y:  tensor(31.8168)
x: torch.Size([288, 68]), edge_index: torch.Size([2, 136]) edge_attr:  torch.Size([136, 1]) y:  tensor(49058.0273)
x: torch.Size([128, 68]), edge_index: torch.Size([2, 122]) edge_attr:  torch.Size([122, 1]) y:  tensor(13048.0859)
x: torch.Size([108, 68]), edge_index: torch.Size([2, 103]) edge_attr:  torch.Size([103, 1]) y:  tensor(35152.8516)
x: torch.Size([128, 68]), edge_index: torch.Size([2, 118]) edge_attr:  torch.Size([118, 1]) y:  tensor(6284.2612)
x: torch.Size([168, 68]), edge_index: torch.Size([2, 102]) edge_attr:  torch.Size([102, 1]) y:  tensor(49058.0273)
x: torch.Size([128, 68]), edge_index: torch.Size([2, 158]) edge_attr:  torch.Size([158, 1]) y:  tensor(3569.3787)
x: torch.Size([108, 68]), edge_index: torch.Size([2, 125]) edge_attr:  torch.Size([125, 1]) y:  tensor(12307.1924)
x: torch.Size([108, 68]), edge_index: torch.Size([2, 135]) edge_attr:  torch.Size([135, 1]) y:  tensor(4664.3218)
x: torch.Size([108, 68]), edge_index: torch.Size([2, 123]) edge_attr:  torch.Size([123, 1]) y:  tensor(18099.5840)
x: torch.Size([168, 68]), edge_index: torch.Size([2, 139]) edge_attr:  torch.Size([139, 1]) y:  tensor(4749.5469)
x: torch.Size([148, 68]), edge_index: torch.Size([2, 131]) edge_attr:  torch.Size([131, 1]) y:  tensor(5686.7383)
x: torch.Size([288, 68]), edge_index: torch.Size([2, 112]) edge_attr:  torch.Size([112, 1]) y:  tensor(43.2280)
x: torch.Size([168, 68]), edge_index: torch.Size([2, 119]) edge_attr:  torch.Size([119, 1]) y:  tensor(174.1351)
x: torch.Size([288, 68]), edge_index: torch.Size([2, 127]) edge_attr:  torch.Size([127, 1]) y:  tensor(11644.0967)
x: torch.Size([288, 68]), edge_index: torch.Size([2, 121]) edge_attr:  torch.Size([121, 1]) y:  tensor(1741.3719)
x: torch.Size([168, 68]), edge_index: torch.Size([2, 121]) edge_attr:  torch.Size([121, 1]) y:  tensor(6830.0010)
x: torch.Size([108, 68]), edge_index: torch.Size([2, 119]) edge_attr:  torch.Size([119, 1]) y:  tensor(19632.8633)
x: torch.Size([108, 68]), edge_index: torch.Size([2, 121]) edge_attr:  torch.Size([121, 1]) y:  tensor(8462.1270)
x: torch.Size([168, 68]), edge_index: torch.Size([2, 100]) edge_attr:  torch.Size([100, 1]) y:  tensor(18.0123)
x: torch.Size([168, 68]), edge_index: torch.Size([2, 134]) edge_attr:  torch.Size([134, 1]) y:  tensor(5075.2295)
